name,nii_file,nii_file_id,4dvolind
16_to_20,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,20
16_to_21,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,21
16_to_22,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,22
16_to_23,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,23
16_to_24,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,24
16_to_25,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,25
16_to_26,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,26
16_to_27,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,27
16_to_28,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,28
16_to_29,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,29
16_to_30,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,30
16_to_31,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,31
16_to_32,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,32
16_to_33,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,33
16_to_34,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,34
16_to_35,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,35
16_to_36,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,36
16_to_37,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,37
16_to_38,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,38
16_to_39,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,39
16_to_40,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,40
16_to_41,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,41
16_to_42,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,42
16_to_43,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,43
16_to_44,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,44
16_to_45,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,45
16_to_46,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,46
16_to_47,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,47
16_to_48,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,48
16_to_49,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,49
16_to_50,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,50
16_to_51,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,51
16_to_52,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,52
16_to_53,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,53
16_to_54,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,54
16_to_55,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,55
16_to_56,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,56
16_to_57,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,57
16_to_58,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,58
16_to_59,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,59
16_to_60,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,60
16_to_61,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,61
16_to_62,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,62
16_to_63,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,63
16_to_64,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,64
16_to_65,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,65
16_to_66,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,66
16_to_67,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,67
16_to_68,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,68
16_to_69,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,69
16_to_70,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,70
16_to_71,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,71
16_to_72,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,72
16_to_73,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,73
16_to_74,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,74
16_to_75,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,75
16_to_76,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,76
16_to_77,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,77
16_to_78,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,78
16_to_79,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,79
16_to_80,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,80
16_to_81,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,81
16_to_82,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,82
17_to_0,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,0
17_to_1,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,1
17_to_2,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,2
17_to_3,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,3
17_to_4,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,4
17_to_5,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,5
17_to_6,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,6
17_to_7,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,7
17_to_8,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,8
17_to_9,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,9
17_to_10,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,10
17_to_11,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,11
17_to_12,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,12
17_to_13,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,13
17_to_14,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,14
17_to_15,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,15
17_to_16,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,16
17_to_17,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,17
17_to_18,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,18
17_to_19,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,19
17_to_20,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,20
17_to_21,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,21
17_to_22,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,22
17_to_23,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,23
17_to_24,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,24
17_to_25,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,25
17_to_26,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,26
17_to_27,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,27
17_to_28,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,28
17_to_29,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,29
17_to_30,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,30
17_to_31,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,31
17_to_32,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,32
17_to_33,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,33
17_to_34,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,34
17_to_35,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,35
17_to_36,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,36
17_to_37,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,37
17_to_38,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,38
17_to_39,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,39
17_to_40,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,40
17_to_41,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,41
17_to_42,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,42
